provinceTerritory,amt1,amt2,amt3,amt4,amt5
Newfoundland and Labrador,295540,95480,22800,6550,3620
Prince Edward Island,84280,27180,3720,1000,620
Nova Scotia,522960,175640,30800,7790,5060
New Brunswick,444660,134190,21140,5180,3190
Quebec,4626080,1555870,262810,63240,55090
Ontario,6830300,2726210,645870,181410,154470
Manitoba,670210,240930,43710,9980,8080
Saskatchewan,530440,226680,57170,15390,8300
Alberta,1774590,855580,267920,91160,69820
British Columbia,2459710,947700,227570,66640,52860
Northwest Territories,17220,8850,4130,830,370
Yukon,16220,9440,2100,440,240
Nunavut,14270,4620,2540,500,160
Non-resident,135200,6990,3070,1320,2280
